index,customer_id,subject_line_length,last_open_day,last_login_day,last_checkout_day,open_count_last_10_days,open_count_last_30_days,open_count_last_60_days,login_count_last_10_days,login_count_last_30_days,login_count_last_60_days,checkout_count_last_10_days,checkout_count_last_30_days,checkout_count_last_60_days,open_flag,row_id,attr_1,attr_2,attr_3,age,domain,gender,checkout_count_last_6_months,checkout_count_last_1_year
0,299,32,19,1,9,0,1,3,34,118,245,1,2,7,0,2393,1.0,1.0,1.0,38.0,@gmail.com,Female,21,32
1,2143,32,21,2,6,0,2,4,20,68,147,1,3,10,0,2429,1.0,1.0,2.0,26.0,@yahoo.com,Male,27,75
2,2306,37,130,1,0,0,0,0,172,522,1070,12,12,26,0,2434,1.0,1.0,4.0,56.0,@gmail.com,Male,57,104
3,3334,32,9,13,15,1,1,2,2,10,27,0,1,3,0,2448,1.0,1.0,2.0,30.0,@gmail.com,Female,6,15
4,5751,32,62,2,2,0,0,0,22,64,110,4,13,18,0,2486,1.0,1.0,2.0,27.0,@yahoo.com,Female,56,100
5,10673,37,2,1,0,5,9,16,17,48,99,5,8,19,1,2545,1.0,1.0,2.0,35.0,@gmail.com,Male,46,106
6,11097,32,91,1,0,0,0,0,24,79,173,4,11,21,0,2550,1.0,1.0,2.0,5.0,@gmail.com,Male,63,120
7,12358,32,78,3,0,0,0,0,12,45,79,1,6,14,0,2565,1.0,1.0,2.0,23.0,@gmail.com,Female,51,89
8,12993,32,4,2,0,2,3,8,9,30,67,3,12,34,1,2571,,1.0,0.0,42.0,@gmail.com,Male,114,231
9,17210,31,1,8,0,5,10,17,13,23,52,3,3,7,1,2635,1.0,1.0,2.0,34.0,other,Male,21,22
10,18689,32,106,9,192,0,0,0,2,2,10,0,0,0,0,2655,1.0,1.0,1.0,41.0,@yahoo.com,Male,0,3
11,20351,32,107,6,6,0,0,0,7,17,29,2,2,5,0,2679,1.0,1.0,2.0,34.0,@gmail.com,Male,5,35
12,20596,31,4,64,329,5,8,8,0,0,0,0,0,0,1,2684,1.0,1.0,2.0,25.0,@gmail.com,Male,0,1
13,21435,37,2,2,0,3,7,10,35,86,152,9,15,22,1,2700,1.0,1.0,2.0,40.0,@gmail.com,Male,48,108
14,21768,32,3,3,48,1,1,2,4,26,74,0,0,2,0,2706,,1.0,0.0,63.0,@yahoo.com,Male,0,21
15,23545,32,13,1,29,0,1,2,37,106,224,0,1,4,0,2726,1.0,1.0,2.0,29.0,@gmail.com,Female,19,34
16,23578,32,52,6,82,0,0,1,2,7,8,0,0,0,0,2727,1.0,1.0,2.0,43.0,@gmail.com,Female,4,8
17,24703,32,19,14,19,0,2,5,6,26,46,0,3,5,0,2739,1.0,1.0,2.0,44.0,@gmail.com,Female,12,49
18,25779,32,6,6,4,1,1,4,5,18,27,2,2,5,0,2753,,1.0,0.0,45.0,@gmail.com,Female,10,23
19,27409,32,107,9,18,0,0,0,1,6,16,0,1,3,0,2777,1.0,1.0,1.0,24.0,@yahoo.com,Female,9,26
20,27469,37,58,1,324,0,0,0,1,5,19,0,0,0,0,2778,1.0,1.0,2.0,29.0,@gmail.com,Male,0,1
21,29983,32,53,6,10,0,0,1,16,29,83,1,1,3,0,2809,1.0,1.0,2.0,33.0,@yahoo.com,Male,2,27
22,30335,32,13,7,0,2,3,7,20,51,97,3,3,15,0,2812,1.0,1.0,2.0,29.0,@gmail.com,Male,47,88
23,31125,32,1,20,254,4,6,9,0,2,2,0,0,0,1,2820,1.0,1.0,2.0,32.0,@gmail.com,Male,0,6
24,31313,32,2,5,29,2,2,4,14,42,83,0,1,6,0,2825,1.0,1.0,3.0,28.0,@yahoo.com,Female,17,45
25,32484,32,105,8,50,0,0,0,3,5,23,0,0,1,0,2834,,1.0,0.0,49.0,@gmail.com,Male,9,9
26,33480,32,107,34,64,0,0,0,0,0,1,0,0,0,0,2840,1.0,1.0,2.0,36.0,@gmail.com,Male,2,3
27,34842,31,1,19,19,3,6,10,0,12,34,0,2,4,0,2864,1.0,1.0,1.0,35.0,@gmail.com,Female,13,23
28,36460,32,2,68,78,3,6,8,0,0,0,0,0,0,0,2885,1.0,1.0,2.0,27.0,@gmail.com,Male,6,10
29,36763,32,46,25,225,0,0,1,5,8,15,0,0,0,1,2889,,1.0,0.0,32.0,@yahoo.com,Male,0,6
30,42268,32,31,3,233,0,0,3,2,5,5,0,0,0,0,2958,1.0,1.0,2.0,43.0,@gmail.com,Female,0,7
31,42702,32,3,7,28,2,2,3,21,62,116,0,1,1,0,2966,1.0,1.0,1.0,42.0,@yahoo.com,Male,10,14
32,42739,32,25,27,87,0,0,3,0,1,1,0,0,0,1,2968,,1.0,0.0,26.0,@yahoo.com,Male,5,20
33,43429,32,97,5,25,0,0,0,24,53,154,0,1,5,0,2977,1.0,1.0,2.0,40.0,@yahoo.com,Male,22,39
34,43586,32,4,1,0,3,4,5,17,28,39,3,4,6,1,2979,1.0,1.0,2.0,31.0,@gmail.com,Male,21,42
35,44473,32,98,5,3,0,0,0,13,23,34,4,5,6,0,2997,1.0,1.0,1.0,29.0,@gmail.com,Male,20,22
36,44950,32,32,51,193,0,0,3,0,0,1,0,0,0,0,3002,1.0,1.0,2.0,36.0,@gmail.com,Female,0,2
37,47116,32,36,2,0,0,0,2,9,21,38,9,11,19,0,3027,1.0,1.0,2.0,26.0,@gmail.com,Female,47,83
38,47877,32,32,1,0,0,0,6,14,42,91,3,4,7,0,3034,1.0,1.0,2.0,41.0,@gmail.com,Female,16,37
39,48873,32,98,20,32,0,0,0,1,6,24,0,0,2,0,3043,,1.0,0.0,21.0,@gmail.com,Female,0,16
40,48875,37,1,6,23,4,7,7,3,18,22,0,1,2,1,3044,1.0,1.0,1.0,32.0,@gmail.com,Female,12,20
41,51119,31,2,2,2,5,9,17,19,53,82,5,7,8,1,3067,,1.0,0.0,61.0,@gmail.com,Female,19,42
42,51954,32,100,4,2,0,0,0,6,20,67,2,2,6,0,3078,1.0,1.0,2.0,30.0,@gmail.com,Male,15,25
43,53376,32,128,146,70,0,0,0,0,0,0,0,0,0,0,3092,1.0,1.0,2.0,38.0,@yahoo.com,Female,6,12
44,55060,32,65,7,14,0,0,0,11,33,70,0,4,6,0,3115,1.0,1.0,1.0,31.0,@gmail.com,Female,23,40
45,55835,32,132,323,223,0,0,0,0,0,0,0,0,0,0,3123,,1.0,0.0,47.0,@yahoo.com,Male,0,1
46,61385,32,73,89,90,0,0,0,0,0,0,0,0,0,0,3170,,1.0,0.0,49.0,@yahoo.com,Male,6,11
