,order_id,order_time,product_id,customer_id
0,order_1,2019-11-11 13:50:53.819019,17393,299
1,order_2,2019-11-27 05:41:28.793190,7725,299
2,order_3,2019-10-19 10:00:48.691390,10948,299
3,order_4,2019-10-09 18:24:32.264380,19083,299
4,order_5,2019-10-29 04:41:47.170388,7954,299
5,order_6,2019-10-24 10:35:27.360008,20012,299
6,order_7,2019-10-17 06:12:50.330973,8973,299
7,order_8,2019-03-16 03:57:50.430527,19722,299
8,order_9,2019-08-23 18:55:20.961204,10049,299
9,order_10,2019-01-14 04:38:19.272670,18497,299
10,order_11,2019-02-18 11:21:49.857533,999,299
11,order_12,2019-07-01 16:19:29.625384,14509,299
12,order_13,2019-04-04 13:36:05.174866,12073,299
13,order_14,2019-03-04 23:18:40.493116,15023,299
14,order_15,2019-07-02 08:19:51.808657,2413,299
15,order_16,2019-07-23 09:07:50.402658,16890,299
16,order_17,2019-01-26 01:24:36.158320,17275,299
17,order_18,2019-02-27 21:30:31.166560,6325,299
18,order_19,2019-06-24 11:32:19.515602,18426,299
19,order_20,2019-09-26 19:43:07.551716,1422,299
20,order_21,2019-07-12 07:37:09.214178,16777,299
21,order_22,2019-04-08 23:59:25.012323,10992,299
22,order_23,2019-03-23 09:18:58.228279,308,299
23,order_24,2019-03-21 06:56:46.102348,16365,299
24,order_25,2019-04-20 04:09:14.384819,7755,299
25,order_26,2019-04-26 19:43:40.944319,14024,299
26,order_27,2019-04-19 16:45:36.559416,5321,299
27,order_28,2019-12-01 16:41:17.779308,14621,2143
28,order_29,2019-12-10 03:06:15.497733,1294,2143
29,order_30,2019-11-30 13:56:54.772487,1608,2143
30,order_31,2019-10-24 18:40:51.957634,699,2143
31,order_32,2019-10-01 09:19:32.631719,18641,2143
32,order_33,2019-10-03 17:38:03.900401,17880,2143
33,order_34,2019-10-12 02:25:31.117976,14981,2143
34,order_35,2019-10-05 15:17:52.791026,5393,2143
35,order_36,2019-10-24 02:23:50.608133,638,2143
36,order_37,2019-10-06 21:37:46.680756,10609,2143
37,order_38,2019-04-23 14:26:29.540861,12521,2143
38,order_39,2019-07-01 23:50:03.992468,10385,2143
39,order_40,2019-07-27 08:06:34.990879,19951,2143
40,order_41,2019-09-12 09:28:24.493576,11314,2143
41,order_42,2019-05-24 21:44:47.882844,10549,2143
42,order_43,2019-01-06 23:49:47.894458,5400,2143
43,order_44,2019-05-20 07:14:51.866657,17695,2143
44,order_45,2019-07-11 20:18:32.763716,8541,2143
45,order_46,2019-04-18 00:56:36.246505,17105,2143
46,order_47,2019-12-15 18:01:48.036201,8413,2306
47,order_48,2019-12-09 23:34:08.862674,9974,2306
48,order_49,2019-12-03 08:28:56.343531,16108,2306
49,order_50,2019-11-29 15:06:36.085698,5874,2306
50,order_51,2019-12-16 19:31:03.262979,5271,2306
51,order_52,2019-11-30 02:57:26.802212,8609,2306
52,order_53,2019-11-19 12:11:43.251159,5874,2306
53,order_54,2019-12-04 12:47:30.972175,8303,2306
54,order_55,2019-12-25 19:08:38.124201,5622,2306
55,order_56,2019-12-09 07:04:38.191951,10803,2306
56,order_57,2019-12-20 11:47:54.298111,9671,2306
57,order_58,2019-12-06 21:49:32.019032,17524,2306
58,order_59,2019-10-16 10:00:40.120881,365,2306
59,order_60,2019-10-30 20:15:12.203370,18668,2306
60,order_61,2019-10-11 08:32:33.500839,11062,2306
61,order_62,2019-10-08 08:42:13.821183,16658,2306
62,order_63,2019-10-07 17:06:19.571777,13129,2306
63,order_64,2019-10-10 02:16:07.762119,16457,2306
64,order_65,2019-10-18 17:31:12.697656,13167,2306
65,order_66,2019-10-19 10:11:32.469424,1188,2306
66,order_67,2019-10-18 02:46:28.769258,10652,2306
67,order_68,2019-10-29 08:28:25.862648,12205,2306
68,order_69,2019-10-27 11:07:29.692812,6521,2306
69,order_70,2019-10-29 18:37:30.211812,17701,2306
70,order_71,2019-10-01 16:59:09.373376,13270,2306
71,order_72,2019-10-09 22:11:21.505911,10498,2306
72,order_73,2019-03-11 08:34:45.960462,5377,2306
73,order_74,2019-08-16 13:54:55.970719,7894,2306
74,order_75,2019-06-21 05:14:18.995014,10019,2306
75,order_76,2019-01-23 08:30:34.635213,463,2306
76,order_77,2019-02-05 01:05:42.156232,12811,2306
77,order_78,2019-03-02 00:20:23.362856,9067,2306
78,order_79,2019-09-21 23:39:03.063986,6195,2306
79,order_80,2019-03-26 14:59:35.250798,10263,2306
80,order_81,2019-05-18 03:44:28.166315,4239,2306
81,order_82,2019-02-02 17:18:12.846964,8840,2306
82,order_83,2019-04-16 06:08:10.654274,13334,2306
83,order_84,2019-05-23 03:46:20.658454,18730,2306
84,order_85,2019-02-14 13:45:06.768261,13142,2306
85,order_86,2019-03-11 16:19:13.612970,19408,2306
86,order_87,2019-03-24 04:22:25.857312,14846,2306
87,order_88,2019-09-04 06:28:12.680239,10621,2306
88,order_89,2019-01-07 05:12:40.027584,1860,2306
89,order_90,2019-04-27 16:56:58.624887,15455,2306
90,order_91,2019-03-30 11:31:54.881957,18502,2306
91,order_92,2019-04-17 21:06:50.725672,17687,2306
92,order_93,2019-05-30 15:45:38.936739,7581,2306
93,order_94,2019-05-09 08:42:53.459787,19470,2306
94,order_95,2019-05-10 05:26:56.115182,1373,2306
95,order_96,2019-08-24 08:05:12.405658,9572,2306
96,order_97,2019-05-10 03:51:13.610261,15232,2306
97,order_98,2019-06-23 15:28:20.857953,500,2306
98,order_99,2019-07-03 14:23:24.856106,3797,2306
99,order_100,2019-07-13 02:41:39.941076,327,2306
100,order_101,2019-03-12 06:28:29.669529,11329,2306
101,order_102,2019-03-25 19:55:28.098004,15958,2306
102,order_103,2019-07-25 10:22:47.938800,16802,2306
103,order_104,2019-04-15 12:17:29.215221,13547,2306
104,order_105,2019-05-22 11:16:01.906011,16001,2306
105,order_106,2019-01-19 03:17:41.819606,19905,2306
106,order_107,2019-09-17 10:29:15.925107,13253,2306
107,order_108,2019-02-08 23:29:35.147632,20009,2306
108,order_109,2019-01-22 17:52:59.702868,5027,2306
109,order_110,2019-07-21 14:25:28.975688,15186,2306
110,order_111,2019-03-30 10:54:39.945044,19022,2306
111,order_112,2019-03-25 03:07:36.277973,8761,2306
112,order_113,2019-05-01 05:39:06.014370,12714,2306
113,order_114,2019-05-18 05:40:11.171641,13598,2306
114,order_115,2019-02-26 08:45:11.701433,959,2306
115,order_116,2019-08-08 09:11:16.137272,9007,2306
116,order_117,2019-03-04 16:50:27.569245,18865,2306
117,order_118,2019-04-02 12:43:36.539654,10192,2306
