,customer_id,loyalty_tier_customer_facing,percentile_rank,Activity,Discount_Cluster,preferred_day,preferred_hour,preferred_category,Campaign
0,299,Gold,84.18300653594771,Active,Full Price Shopper,Saturday,8.0,Men Clothes,Low Participation
1,2143,Platinum,91.4161220043573,Active,Full Price Shopper,Saturday,7.0,Health & Beauty,High Participation
2,2306,Platinum,96.51416122004358,Active,Full Price Shopper,Sunday,9.0,Men Clothes,High Participation
3,3334,Classic,41.61220043572985,Active,Occasional Discounter,Saturday,20.0,Women Clothes,Low Participation
4,5751,Platinum,91.15468409586057,Active,Full Price Shopper,Sunday,7.0,Health & Beauty,High Participation
5,10673,Platinum,94.98910675381264,Active,Full Price Shopper,Saturday,7.0,Women Clothes,Low Participation
6,11097,Gold,83.00653594771242,Active,Full Price Shopper,Friday,7.0,Women Clothes,High Participation
7,12358,Gold,88.01742919389977,Active,Full Price Shopper,Sunday,7.0,Mobile & Accessories,High Participation
8,12993,Platinum,94.50980392156862,Active,Full Price Shopper,Sunday,7.0,Men Clothes,High Participation
9,17210,Silver,62.61437908496732,Active,Occasional Discounter,Saturday,18.0,Groceries & Pets,Low Participation
10,18689,Classic,47.14596949891068,Inactive,Occasional Discounter,Monday,12.0,Baby & Toys,Low Participation
11,20351,Gold,92.85403050108933,Active,Occasional Discounter,Saturday,8.0,Men Clothes,Low Participation
12,20596,Classic,7.538126361655774,Inactive,Bargain Hunter,Tuesday,8.0,Mobile & Accessories,Low Participation
13,21435,Platinum,93.24618736383442,Active,Full Price Shopper,Friday,8.0,Women Clothes,High Participation
14,21768,Classic,47.276688453159046,Active,Occasional Discounter,Friday,8.0,Home & Living,Low Participation
15,23545,Gold,84.880174291939,Active,Full Price Shopper,Sunday,7.0,Women Clothes,Low Participation
16,23578,Classic,43.529411764705884,Inactive,Bargain Hunter,Thursday,9.0,Baby & Toys,Low Participation
17,24703,Gold,88.06100217864923,Active,Full Price Shopper,Friday,7.0,Men Clothes,Low Participation
18,25779,Classic,46.492374727668846,Active,Full Price Shopper,Sunday,7.0,Men Clothes,Low Participation
19,27409,Gold,82.17864923747277,Active,Occasional Discounter,Saturday,7.0,Health & Beauty,Low Participation
20,27469,Classic,0.04357298474945533,Inactive,Bargain Hunter,Sunday,16.0,Baby & Toys,Low Participation
21,29983,Silver,60.56644880174292,Active,Full Price Shopper,Saturday,7.0,Baby & Toys,Low Participation
22,30335,Gold,85.96949891067538,Active,Full Price Shopper,Friday,8.0,Men Clothes,High Participation
23,31125,Classic,49.97821350762528,Inactive,Full Price Shopper,Saturday,9.0,Mobile & Accessories,Low Participation
24,31313,Gold,81.48148148148148,Active,Full Price Shopper,Saturday,7.0,Men Clothes,Low Participation
25,32484,Classic,44.31372549019608,Active,Full Price Shopper,Friday,9.0,Women Clothes,Low Participation
26,33480,Classic,12.854030501089325,Inactive,Full Price Shopper,Friday,12.0,Health & Beauty,Low Participation
27,34842,Classic,35.07625272331155,Active,Full Price Shopper,Sunday,9.0,Mobile & Accessories,Low Participation
28,36460,Classic,31.45969498910675,Inactive,Full Price Shopper,Saturday,8.0,Health & Beauty,Low Participation
29,36763,Classic,53.4640522875817,Inactive,Occasional Discounter,Monday,8.0,Health & Beauty,Low Participation
30,42268,Classic,34.68409586056645,Inactive,Occasional Discounter,Sunday,13.0,Automotive,Low Participation
31,42702,Classic,42.00435729847495,Active,Full Price Shopper,Saturday,8.0,Men Clothes,Low Participation
32,42739,Silver,71.50326797385621,Inactive,Full Price Shopper,Saturday,7.0,Men Clothes,Low Participation
33,43429,Gold,85.18518518518519,Active,Full Price Shopper,Friday,8.0,Mobile & Accessories,Low Participation
34,43586,Silver,71.76470588235294,Active,Full Price Shopper,Friday,8.0,Automotive,Low Participation
35,44473,Silver,83.09368191721133,Active,Occasional Discounter,Saturday,8.0,Mobile & Accessories,Low Participation
36,44950,Classic,20.74074074074074,Inactive,Deal Seeker,Friday,8.0,Computer & Accessories,Low Participation
37,47116,Gold,76.7755991285403,Active,Full Price Shopper,Saturday,7.0,Men Clothes,High Participation
38,47877,Silver,61.39433551198257,Active,Full Price Shopper,Friday,9.0,Women Clothes,Low Participation
39,48873,Silver,50.71895424836601,Active,Occasional Discounter,Friday,9.0,Baby & Toys,Low Participation
40,48875,Silver,51.067538126361654,Active,Full Price Shopper,Tuesday,18.0,Health & Beauty,Low Participation
41,51119,Silver,63.834422657952075,Active,Occasional Discounter,Sunday,7.0,Women Clothes,Low Participation
42,51954,Gold,81.04575163398692,Active,Full Price Shopper,Friday,15.0,Mobile & Accessories,Low Participation
43,53376,Silver,57.167755991285404,Inactive,Full Price Shopper,Tuesday,12.0,Home & Living,Low Participation
44,55060,Silver,71.63398692810458,Active,Bargain Hunter,Friday,15.0,Mobile & Accessories,Low Participation
45,55835,Classic,0.7843137254901961,Inactive,Bargain Hunter,Wednesday,12.0,Computer & Accessories,Low Participation
46,61385,Silver,95.94771241830065,Inactive,Occasional Discounter,Sunday,7.0,Groceries & Pets,Low Participation
47,63879,Classic,48.71459694989107,Inactive,Full Price Shopper,Saturday,22.0,Mobile & Accessories,Low Participation
48,66463,Classic,17.342047930283226,Inactive,Full Price Shopper,Wednesday,8.0,Home Appliances,Low Participation
49,69742,Classic,12.592592592592592,Inactive,Occasional Discounter,Monday,7.0,Fashion Accessories,Low Participation
50,69754,Silver,52.02614379084968,Active,Full Price Shopper,Saturday,7.0,Men Clothes,Low Participation
51,73787,Platinum,96.55773420479304,Active,Full Price Shopper,Saturday,7.0,Mobile & Accessories,High Participation
52,75354,Classic,43.96514161220043,Inactive,Occasional Discounter,Wednesday,15.0,Women Clothes,Low Participation
53,78379,Gold,92.46187363834423,Active,Occasional Discounter,Sunday,8.0,Women Clothes,Low Participation
54,79473,Gold,83.44226579520696,Active,Occasional Discounter,Friday,8.0,Men Clothes,Low Participation
55,79525,Classic,79.47712418300654,Active,Full Price Shopper,Friday,8.0,Home & Living,Low Participation
56,79786,Classic,22.91938997821351,Inactive,Full Price Shopper,Sunday,7.0,Automotive,Low Participation
57,79998,Classic,29.01960784313726,Active,Full Price Shopper,Saturday,8.0,Baby & Toys,Low Participation
58,80330,Classic,38.910675381263616,Inactive,Full Price Shopper,Monday,18.0,Health & Beauty,Low Participation
59,80576,Classic,10.501089324618738,Inactive,Occasional Discounter,Friday,14.0,Health & Beauty,Low Participation
60,82079,Classic,71.37254901960785,Inactive,Full Price Shopper,Saturday,9.0,Baby & Toys,Low Participation
61,82193,Classic,60.65359477124183,Inactive,Occasional Discounter,Thursday,23.0,Home Appliances,Low Participation
62,82960,Classic,5.315904139433552,Inactive,Deal Seeker,Friday,8.0,Automotive,Low Participation
63,83197,Classic,49.106753812636164,Inactive,Full Price Shopper,Sunday,11.0,Groceries & Pets,Low Participation
64,84069,Classic,49.84749455337691,Inactive,Occasional Discounter,Sunday,9.0,Groceries & Pets,Low Participation
65,84152,Silver,60.74074074074074,Active,Full Price Shopper,Sunday,7.0,Men Clothes,Low Participation
66,85165,Silver,69.49891067538127,Active,Full Price Shopper,Friday,8.0,Health & Beauty,Low Participation
67,85172,Classic,0.0,Inactive,,,,,Low Participation
68,85258,Silver,53.071895424836605,Active,Full Price Shopper,Sunday,9.0,Automotive,Low Participation
69,85752,Classic,23.703703703703706,Active,Full Price Shopper,Friday,7.0,Automotive,Low Participation
70,87437,Classic,11.633986928104575,Inactive,Bargain Hunter,Wednesday,7.0,Women Clothes,Low Participation
71,87505,Platinum,97.69063180827887,Active,Full Price Shopper,Sunday,7.0,Men Clothes,High Participation
72,88229,Classic,0.0,Inactive,,,,,Low Participation
73,88258,Classic,48.06100217864924,Inactive,Occasional Discounter,Friday,15.0,Groceries & Pets,Low Participation
74,90159,Classic,37.9520697167756,Inactive,Bargain Hunter,Saturday,7.0,Home & Living,Low Participation
75,91220,Classic,63.61655773420479,Active,Full Price Shopper,Friday,7.0,Cameras & Drones,Low Participation
76,93065,Classic,44.488017429193896,Active,Bargain Hunter,Sunday,7.0,Mobile & Accessories,Low Participation
77,93080,Classic,61.87363834422658,Inactive,Occasional Discounter,Friday,8.0,Cameras & Drones,Low Participation
78,96402,Classic,24.18300653594771,Inactive,Bargain Hunter,Friday,7.0,Health & Beauty,Low Participation
79,97378,Classic,4.270152505446624,Inactive,Bargain Hunter,Friday,7.0,Men Clothes,Low Participation
80,99824,Gold,83.05010893246188,Active,Occasional Discounter,Sunday,18.0,Health & Beauty,Low Participation
81,100214,Classic,29.629629629629626,Inactive,Occasional Discounter,Saturday,9.0,Groceries & Pets,Low Participation
82,102633,Gold,89.97821350762527,Active,Full Price Shopper,Friday,7.0,Health & Beauty,Low Participation
83,102769,Classic,27.58169934640523,Inactive,Occasional Discounter,Thursday,21.0,Automotive,Low Participation
84,103196,Classic,15.5119825708061,Inactive,Full Price Shopper,Friday,8.0,Home & Living,Low Participation
85,103575,Classic,16.122004357298476,Inactive,Occasional Discounter,Sunday,8.0,Fashion Accessories,Low Participation
86,103971,Silver,67.45098039215686,Active,Occasional Discounter,Friday,15.0,Women Clothes,Low Participation
87,104322,Silver,63.39869281045751,Inactive,Bargain Hunter,Saturday,7.0,Men Clothes,Low Participation
88,104449,Classic,23.877995642701524,Inactive,Full Price Shopper,Wednesday,20.0,Women Clothes,Low Participation
89,104706,Gold,82.61437908496731,Active,Full Price Shopper,Sunday,7.0,Men Clothes,Low Participation
90,105506,Silver,66.05664488017429,Active,Full Price Shopper,Sunday,7.0,Baby & Toys,Low Participation
91,106040,Classic,54.94553376906318,Active,Full Price Shopper,Sunday,9.0,Mobile & Accessories,Low Participation
92,106223,Silver,80.61002178649237,Inactive,Occasional Discounter,Friday,9.0,Home Appliances,Low Participation
93,107094,Silver,69.71677559912854,Active,Occasional Discounter,Sunday,2.0,Sports & Outdoor,Low Participation
94,107288,Silver,64.57516339869281,Active,Occasional Discounter,Friday,7.0,Home & Living,Low Participation
95,107368,Silver,53.812636165577345,Active,Occasional Discounter,Wednesday,7.0,Men Clothes,Low Participation
96,108973,Classic,10.544662309368192,Inactive,Full Price Shopper,Sunday,7.0,Health & Beauty,Low Participation
97,110798,Gold,89.8474945533769,Active,Full Price Shopper,Thursday,9.0,Women Clothes,Low Participation
98,112746,Classic,27.450980392156865,Active,Bargain Hunter,Monday,7.0,Home & Living,Low Participation
99,113087,Gold,90.54466230936819,Active,Full Price Shopper,Friday,18.0,Health & Beauty,Low Participation
100,115731,Classic,27.058823529411764,Inactive,Occasional Discounter,Monday,12.0,Baby & Toys,Low Participation
101,115818,Silver,53.94335511982571,Active,Full Price Shopper,Sunday,7.0,Women Clothes,Low Participation
102,4882,Gold,75.42483660130719,Active,Occasional Discounter,Saturday,8.0,Men Clothes,Low Participation
103,13846,Classic,32.63616557734205,Inactive,Occasional Discounter,Saturday,7.0,Baby & Toys,Low Participation
104,23671,Classic,42.70152505446623,Active,Occasional Discounter,Sunday,8.0,Women Clothes,Low Participation
105,25539,Gold,77.73420479302833,Active,Full Price Shopper,Sunday,8.0,Women Clothes,Low Participation
106,28010,Classic,56.90631808278867,Active,Bargain Hunter,Saturday,7.0,Groceries & Pets,Low Participation
107,28419,Silver,61.089324618736384,Active,Full Price Shopper,Sunday,7.0,Women Clothes,Low Participation
108,34141,Classic,7.886710239651416,Inactive,Occasional Discounter,Wednesday,8.0,Men Clothes,Low Participation
109,39934,Silver,68.54030501089325,Inactive,Full Price Shopper,Friday,8.0,Mobile & Accessories,Low Participation
110,42294,Gold,76.73202614379086,Active,Occasional Discounter,Sunday,7.0,Baby & Toys,Low Participation
111,43067,Classic,19.215686274509807,Active,Bargain Hunter,Saturday,7.0,Computer & Accessories,Low Participation
112,43930,Gold,75.64270152505446,Active,Occasional Discounter,Friday,7.0,Women Clothes,Low Participation
113,45222,Classic,1.6993464052287581,Inactive,Deal Seeker,Friday,23.0,Men Clothes,Low Participation
114,50430,Platinum,97.6470588235294,Active,Full Price Shopper,Friday,8.0,Health & Beauty,High Participation
115,56704,Classic,68.14814814814815,Inactive,Occasional Discounter,Friday,9.0,Baby & Toys,Low Participation
116,57307,Classic,29.49891067538126,Inactive,Occasional Discounter,Saturday,9.0,Men Clothes,Low Participation
117,58332,Classic,6.492374727668845,Active,Occasional Discounter,Sunday,15.0,Women Clothes,Low Participation
118,58505,Classic,26.318082788671028,Active,Full Price Shopper,Sunday,4.0,Automotive,Low Participation
119,58910,Classic,25.49019607843137,Inactive,Occasional Discounter,Wednesday,8.0,Women Clothes,Low Participation
120,62207,Classic,16.732026143790847,Active,Bargain Hunter,Tuesday,3.0,Baby & Toys,Low Participation
121,63398,Classic,65.57734204793029,Inactive,Occasional Discounter,Sunday,9.0,Health & Beauty,Low Participation
122,65837,Silver,53.89978213507626,Inactive,Full Price Shopper,Wednesday,8.0,Health & Beauty,Low Participation
123,66036,Classic,9.063180827886711,Active,Occasional Discounter,Sunday,7.0,Health & Beauty,Low Participation
124,68921,Classic,45.18518518518518,Inactive,Full Price Shopper,Friday,8.0,Men Clothes,Low Participation
125,76386,Classic,32.287581699346404,Inactive,Occasional Discounter,Sunday,19.0,Health & Beauty,Low Participation
126,76436,Classic,23.050108932461875,Active,Occasional Discounter,Friday,9.0,Groceries & Pets,Low Participation
127,78343,Classic,38.21350762527233,Inactive,Bargain Hunter,Friday,8.0,Health & Beauty,Low Participation
128,78831,Classic,40.43572984749456,Inactive,Full Price Shopper,Sunday,23.0,Health & Beauty,Low Participation
129,83661,Classic,21.437908496732025,Inactive,Full Price Shopper,Monday,7.0,Men Clothes,Low Participation
130,85078,Silver,75.33769063180827,Active,Occasional Discounter,Thursday,18.0,Men Clothes,Low Participation
131,85095,Classic,28.583877995642702,Inactive,Occasional Discounter,Thursday,8.0,Men Clothes,Low Participation
132,89393,Classic,16.64488017429194,Inactive,Bargain Hunter,Thursday,7.0,"Games, Books & Hobbies",Low Participation
133,91195,Classic,26.143790849673206,Inactive,Occasional Discounter,Saturday,2.0,Men Clothes,Low Participation
134,91479,Classic,22.0479302832244,Inactive,Full Price Shopper,Sunday,16.0,Fashion Accessories,Low Participation
135,93663,Silver,90.45751633986929,Active,Full Price Shopper,Sunday,15.0,Mobile & Accessories,Low Participation
136,95142,Classic,34.509803921568626,Inactive,Bargain Hunter,Sunday,8.0,Home Appliances,Low Participation
137,95879,Classic,38.38779956427015,Inactive,Occasional Discounter,Friday,7.0,Cameras & Drones,Low Participation
138,97919,Platinum,99.52069716775598,Active,Full Price Shopper,Friday,7.0,Health & Beauty,High Participation
139,101222,Silver,63.35511982570806,Active,Full Price Shopper,Friday,7.0,Groceries & Pets,Low Participation
140,104164,Classic,2.047930283224401,Inactive,Deal Seeker,Tuesday,7.0,Automotive,Low Participation
141,104677,Silver,62.4400871459695,Inactive,Occasional Discounter,Friday,13.0,Health & Beauty,Low Participation
142,104970,Classic,1.8300653594771243,Inactive,Bargain Hunter,Wednesday,9.0,Baby & Toys,Low Participation
143,107387,Classic,49.89106753812636,Active,Full Price Shopper,Friday,9.0,Health & Beauty,Low Participation
144,113108,Classic,56.949891067538125,Inactive,Occasional Discounter,Monday,7.0,Mobile & Accessories,Low Participation
145,113188,Silver,61.525054466230934,Active,Full Price Shopper,Sunday,7.0,Health & Beauty,Low Participation
146,115820,Classic,18.69281045751634,Inactive,Full Price Shopper,Friday,7.0,Women Clothes,Low Participation
147,11519,Classic,25.22875816993464,Active,Bargain Hunter,Friday,20.0,Baby & Toys,Low Participation
148,21807,Classic,68.06100217864923,Inactive,Full Price Shopper,Saturday,9.0,Mobile & Accessories,Low Participation
149,35809,Classic,20.806100217864923,Inactive,Occasional Discounter,Friday,15.0,Automotive,Low Participation
150,36975,Classic,11.11111111111111,Inactive,Occasional Discounter,Saturday,11.0,Baby & Toys,Low Participation
151,39726,Classic,4.662309368191721,Inactive,Bargain Hunter,Monday,14.0,Home & Living,Low Participation
152,39986,Classic,9.586056644880173,Inactive,Bargain Hunter,Wednesday,7.0,Health & Beauty,Low Participation
153,44714,Classic,2.657952069716776,Inactive,Full Price Shopper,Monday,12.0,Automotive,Low Participation
154,44942,Classic,18.21350762527233,Inactive,Full Price Shopper,Saturday,8.0,Men Clothes,Low Participation
155,45206,Classic,17.516339869281044,Inactive,Bargain Hunter,Thursday,3.0,Home Appliances,Low Participation
156,46400,Classic,43.39869281045752,Inactive,Occasional Discounter,Thursday,8.0,Men Clothes,Low Participation
157,49860,Classic,87.45098039215686,Inactive,Bargain Hunter,Sunday,7.0,Cameras & Drones,Low Participation
158,50980,Platinum,95.119825708061,Active,Occasional Discounter,Saturday,8.0,Mobile & Accessories,Low Participation
159,52109,Classic,31.328976034858385,Inactive,Full Price Shopper,Friday,8.0,Women Clothes,Low Participation
