,customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment,Segment_Code,RFM_Kmeans_Clusters,Kmeans_Cluster_Name
0,299,9,30.649698294596206,1875.7432798481093,4,4,4,12,champion,1,6,Promissing
1,305,78,11.419612052287254,583.8375468160701,2,3,3,8,promising,5,1,At-Risk Customers
2,346,0,48.57907950983947,1088.5924892443695,4,4,4,12,champion,1,6,Promissing
3,462,0,251.637736680709,7841.985919853848,4,4,4,12,champion,1,5,Promissing
4,634,7,8.760745987101114,149.32807584460733,4,2,2,8,promising,5,6,Promissing
5,713,0,2352.682252822309,84381.40033969845,4,4,4,12,champion,1,3,Champions
6,715,75,8.639189904607653,105.09877088010006,2,2,2,6,need_attention,4,1,At-Risk Customers
7,782,1,203.56720087609006,5759.134712156283,4,4,4,12,champion,1,5,Promissing
8,789,103,3.7928955216392835,32.41249287955541,2,1,1,4,hibernating,2,1,At-Risk Customers
9,903,0,140.70299846947043,5512.575386929567,4,4,4,12,champion,1,6,Promissing
10,943,192,3.750581695388917,8.740434167749058,2,1,1,4,hibernating,2,4,Need Attention
11,1069,208,3.719776529877165,317.6794091248666,1,1,3,5,hibernating,2,4,Need Attention
12,1229,0,17.128437839544212,480.30471211199824,4,3,3,10,loyal_customer,3,6,Promissing
13,1411,52,32.28107915185302,2245.586276699776,3,4,4,11,loyal_customer,3,6,Promissing
14,1427,33,8.663653936428043,461.3370909415626,3,2,3,8,promising,5,6,Promissing
15,1608,39,16.46277456637722,1645.253465584502,3,3,4,10,loyal_customer,3,6,Promissing
16,1638,212,3.7336353734133767,115.08269928703488,1,1,2,4,hibernating,2,4,Need Attention
17,1655,3,178.9558022583561,5217.067956361653,4,4,4,12,champion,1,6,Promissing
18,1690,61,18.82742266662284,266.50941677268827,3,3,3,9,promising,5,1,At-Risk Customers
19,1722,0,99.2225037934049,8213.23950188964,4,4,4,12,champion,1,6,Promissing
20,1814,15,33.425792791705824,2342.685933362244,4,4,4,12,champion,1,6,Promissing
21,1971,16,19.00222916835378,562.6438958858815,3,3,3,9,promising,5,6,Promissing
22,2003,13,26.333118224872432,1360.0630210893644,4,4,4,12,champion,1,6,Promissing
23,2143,6,70.92427342778643,3355.0207472120783,4,4,4,12,champion,1,6,Promissing
24,2306,0,99.18219128871858,7349.046135480908,4,4,4,12,champion,1,6,Promissing
25,2392,0,45.287415388921836,836.237389445321,4,4,3,11,loyal_customer,3,6,Promissing
26,2547,0,177.72903077133287,6407.553157577902,4,4,4,12,champion,1,6,Promissing
27,2634,6,28.405754699459,650.9336544519409,4,4,3,11,loyal_customer,3,6,Promissing
28,2692,82,3.8515279734269834,621.1870689900451,2,1,3,6,need_attention,4,1,At-Risk Customers
29,2695,246,2.7770553964215487,1178.105123162591,1,1,4,6,need_attention,4,0,Hibernating
30,2709,245,1.848405271318505,5.818395158847959,1,1,1,3,almost_lost,0,0,Hibernating
31,2744,0,258.6583448476565,10298.398091348334,4,4,4,12,champion,1,5,Promissing
32,2746,3,63.91485902420361,2336.374681434076,4,4,4,12,champion,1,6,Promissing
33,2749,2,95.46255381486488,3105.9051206931154,4,4,4,12,champion,1,6,Promissing
34,2779,0,130.28118377601623,4698.147116280727,4,4,4,12,champion,1,6,Promissing
35,2962,6,21.937189726864922,1464.5430231257235,4,4,4,12,champion,1,6,Promissing
36,3334,15,14.241387202225074,142.19879091418278,4,3,2,9,promising,5,6,Promissing
37,3501,29,12.273084471572506,697.3491249690212,3,3,3,9,promising,5,6,Promissing
38,4882,17,85.17017857455912,980.7211441718119,3,4,4,11,loyal_customer,3,6,Promissing
39,5093,14,14.477959289680644,219.067255274521,4,3,2,9,promising,5,6,Promissing
40,5509,0,95.51210739139908,3225.809708364599,4,4,4,12,champion,1,6,Promissing
41,5751,2,95.30537361956792,3089.393971713667,4,4,4,12,champion,1,6,Promissing
42,5844,0,16.19051318035841,761.5190174031397,4,3,3,10,loyal_customer,3,6,Promissing
43,5877,67,8.542755479136623,399.6998554851096,3,2,3,8,promising,5,1,At-Risk Customers
44,5901,0,12.622564307601515,705.3507208093873,4,3,3,10,loyal_customer,3,6,Promissing
45,6332,31,585.9380127178016,17520.582088983916,3,4,4,11,loyal_customer,3,5,Promissing
46,6358,24,28.940482213214175,276.36840739941607,3,4,3,10,loyal_customer,3,6,Promissing
47,6653,116,2.884301758310717,8.402811334935153,2,1,1,4,hibernating,2,1,At-Risk Customers
48,6890,11,42.08834499610495,1270.0995566944155,4,4,4,12,champion,1,6,Promissing
49,7125,224,9.210601931335237,769.2086466001348,1,2,3,6,need_attention,4,4,Need Attention
50,7329,326,0.9145685683580502,2.8195955464174225,1,1,1,3,almost_lost,0,0,Hibernating
51,7363,11,197.4725825069364,12870.7326609144,4,4,4,12,champion,1,5,Promissing
