,customer_id,subject_line_length,last_open_day,last_login_day,last_checkout_day,open_count_last_10_days,open_count_last_30_days,open_count_last_60_days,login_count_last_10_days,login_count_last_30_days,login_count_last_60_days,checkout_count_last_10_days,checkout_count_last_30_days,checkout_count_last_60_days,open_flag,row_id,attr_1,attr_2,attr_3,age,domain,checkout_count_last_1_year
0,299,32,19,1,2,0,1,3,34,118,245,1,2,7,0,2393,1.0,1.0,1.0,38.0,@gmail.com,27
1,2143,32,21,2,7,0,2,4,20,68,147,1,3,10,0,2429,1.0,1.0,2.0,26.0,@yahoo.com,19
2,2306,37,130,1,10,0,0,0,172,522,1070,12,12,26,0,2434,1.0,1.0,4.0,56.0,@gmail.com,196
3,3334,32,9,13,19,1,1,2,2,10,27,0,1,3,0,2448,1.0,1.0,2.0,30.0,@gmail.com,14
4,5751,32,62,2,5,0,0,0,22,64,110,4,13,18,0,2486,1.0,1.0,2.0,27.0,@yahoo.com,41
5,10673,37,2,1,2,5,9,16,17,48,99,5,8,19,1,2545,1.0,1.0,2.0,35.0,@gmail.com,25
6,11097,32,91,1,4,0,0,0,24,79,173,4,11,21,0,2550,1.0,1.0,2.0,5.0,@gmail.com,148
7,12358,32,78,3,9,0,0,0,12,45,79,1,6,14,0,2565,1.0,1.0,2.0,23.0,@gmail.com,98
8,12993,32,4,2,2,2,3,8,9,30,67,3,12,34,1,2571,,1.0,0.0,25.0,@gmail.com,49
9,17210,31,1,8,8,5,10,17,13,23,52,3,3,7,1,2635,1.0,1.0,2.0,34.0,other,8
10,18689,32,106,9,70,0,0,0,2,2,10,0,0,0,0,2655,1.0,1.0,1.0,41.0,@yahoo.com,5
11,20351,32,107,6,44,0,0,0,7,17,29,2,2,5,0,2679,1.0,1.0,2.0,34.0,@gmail.com,16
12,20596,31,4,64,Never checkout,5,8,8,0,0,0,0,0,0,1,2684,1.0,1.0,2.0,25.0,@gmail.com,0
13,21435,37,2,2,2,3,7,10,35,86,152,9,15,22,1,2700,1.0,1.0,2.0,40.0,@gmail.com,46
14,21768,32,3,3,37,1,1,2,4,26,74,0,0,2,0,2706,,1.0,0.0,45.0,@yahoo.com,25
15,23545,32,13,1,13,0,1,2,37,106,224,0,1,4,0,2726,1.0,1.0,2.0,29.0,@gmail.com,38
16,23578,32,52,6,159,0,0,1,2,7,8,0,0,0,0,2727,1.0,1.0,2.0,43.0,@gmail.com,5
17,24703,32,19,14,48,0,2,5,6,26,46,0,3,5,0,2739,1.0,1.0,2.0,44.0,@gmail.com,38
18,25779,32,6,6,6,1,1,4,5,18,27,2,2,5,0,2753,,1.0,0.0,55.0,@gmail.com,28
